Tweets,target(fake=0)
good news covafirst vaccine get approval human clinical trial,1
country first indigenous corona vaccine covadeveloped bharat biotech got nod conduct human clinical trial covavaccine received approval drug controller general india conduct phase human trial,1
india first corona vaccine candidate cova set human trial developed,1
anildeshmukhncp pypayurved bought untested homoeopathic stuff arsenicum album distributed large scale maharashtra ccrh said carried clinical trial establish immunity booster claim,1
mohap announces new corona case recovery,1
unicef india team present india story perseverance grit innovation working gender equity focussed risk communication community engagement corona rcce india presentation,1
global corona prevention trial hydroresume,0
covaindia first indigenous corona vaccine developed bharat biotech,1
icmr bulletin targeted hydroprophyla need interpret caution,1
covafirst corona vaccine bharat biotech get dcgi nod human trial,1
corona lockdown india impacted education million school child unicef report ani,1
medium sabotage hydrouse corona doctor worldwide protest disaster global researchglobal research centre research globalization,1
bitch corona virus cannot survive long period time degree,1
akshaykumar anupampkher us gomutra instead petrol diesel,0
sample patanjali taken testing say uttarakhand ayurved dept,0
bharat biotech announces india first corona vaccine candidate cova dcgi approval human clinical trial,1
corinil found good pypayurved also add little bit gomutra saying also essential ingredient medicine,0
many government agency claimed medicine cure corona,0
seriously cow urine gomutra dangerous drug nope research ground level understand about,1
homeopathy drug untested efficacy corona widely distributed mumbai homoeopathic medicine arsenicum album tablet liquid homoeopathic medicine arsenicum album tablet liquid,1
corona update bsf personnel test positive force tally stand,1
pmoindia give approval vaccine save life india cansino vaccine corona get nod military use china republic world,0
arsenicum album never tested proven reduce corona virus infection prevent corona virus infection misinformed advice followed risk million people life dangerous contagious epidemic,1
arsenic album another wonder drug people chasing recommendation bulk purchasing somehow society yet accept method critical interrogation,1
raman gangakhedkar face icmr corona pandemic retires join prestigious pandit national chair icmr assist research body pune,1
some progress india world fight still long way many new lesson learn,1
saai electro biogenic india pvt ltd sponsored arsenicum album corona warrior greater chennai corporation zone ayanavaram part csr activity,1
people western ghat used drink gomutra nativebreed cow would grace forest eat medicinal plant unlike people raise jersy cow bangalore fed restaurant leftover food,0
icmr march recommended anti malarial drug hcq azithromycin corona patient severe symptom recommendation criticised medical health epotentially dangerous side effect june icmr revised guideline,1
hydrostudy resume test prevents corona infection global trial designed test hydroprevention corona resume,0
global corona prevention trial hydroresume reuters finally,0
according icmr cumulative total sample tested june sample tested monday,1
actually result error mean deserve nobel price discovering truth coronil contains gomutra dont want infected please dont take coronil medicine becuase as got tattered,0
