Tweets,target(fake=0)
 We have  Good News. Covaxin is  first vaccine to get approval for human clinical trials.  ,1
" The country's 'first' indigenous COVID-19 vaccine COVAXIN,developed by Bharat Biotech has got the nod to conduct human clinical trials.  The COVAXIN vaccine has received approval from Drug Controller General of India to conduct Phase I and 2 of human trials.""",1
"India's first COVID-19 vaccine candidate, COVAXIN, is set for human trials.   It is developed by @BharatBiotech @ICMRDELHI and @icmr_niv. ",1
AnilDeshmukhNCP PypAyurved @yogrishiramdev You bought untested homoeopathic stuff Arsenicum Album 30 and distributed on large scale in Maharashtra.  CCRH has said they have not carried any clinical trials to establish its immunity booster claim?',1
"MoHaP announces 421 new COVID_19 cases, 490 recoveries ",1
"Unicef India C4D team  presents the India story of perseverance, grit, innovation ,  while working on gender and equity focussed risk communication and community engagement for COVID 19 at C 19 RCCE India presentation ",1
Global COVID-19 prevention trial of hydroxychloroquine to resume,0
"""COVAXIN is the INDIA'S First Indigenous COVID - 19  Vaccine Developed by BHARAT BIOTECH.",1
The ICMR bulletin on targeted hydroxychloroquine prophylaxis for : Need to interpret with caution   ',1
Covaxin first Covid-19 vaccine by Bharat Biotech gets DCGI nod for human trials ',1
COVID-19 lockdown in India has impacted education of over 247 million school children : UNICEF report (ANI) ',1
The Media Sabotage of Hydroxychloroquine Use for COVID-19: Doctors Worldwide Protest the Disaster - Global ResearchGlobal Research - Centre for Research on Globalization ,1
 Bitch corona virus cannot survive for long period of time at 70 degrees. ',1
akshaykumar & AnupamPKher He uses gomutra instead of petrol /diesel.',0
" Samples of Patanjali  taken for testing, says Uttarakhand Ayurved Dept ",0
""" Bharat Biotech announces India's first COVID-19 vaccine candidate 'COVAXIN' with DCGI approval for human clinical trials ",1
"If Corinil is found to be good, then PypAyurved should also add a little bit of GoMutra into it saying it is also an essential ingredient of the medicine. ",0
Many government agencies have claimed that these medicines have cure for coronavirus. ,0
Seriously cow urine (gomutra) is dangerous than drugs nope. Research at ground level to understand more about. ,1
Homeopathy drug untested for efficacy against COVID-19 widely distributed in Mumbai Homoeopathic medicine Arsenicum Album 30 tablets and liquid. Homoeopathic medicine Arsenicum Album 30 tablets and liquid.',1
"Coronavirus Updates: 53 more BSF personnel test positive for  force's tally stands at 1,018 """,1
PMOIndia  Give approval to this vaccine to save lives in India CanSino's vaccine for COVID-19 gets nod for military use in China - Republic World,0
" Arsenicum album 30 has never been tested or proven to reduce corona virus infections or to prevent corona virus infections. This misinformed advice, if followed, risks million of people lives during such a dangerous and contagious epidemic.'",1
" Arsenic album is another ""wonder drug"" that people've been chasing after recommendation of the . And now @mybmc is bulk purchasing it. Somehow, we as a society, have yet to accept the method of critical interrogation. ",1
"Dr Raman Gangakhedkar, the face of ICMR during COVID-19 pandemic, retires, He will now join the prestigious Dr CG Pandit National Chair at the ICMR and will assist the research body from Pune. ",1
"""Some progress in India and the world's fight. Still a long way to go, many new lessons to learn. """,1
SAAI Electro Biogenic India Pvt Ltd sponsored Arsenicum album 30C to 1000 COVID Warriors of Greater Chennai Corporation Zone 6 Ayanavaram as part of our CSR Activity ,1
 People in the western ghats used to drink gomutra as their nativebreed cows would grace in the forests  and eat the medicinal plants there unlike now where  people  raise jersy  cows  and in bangalore  they are fed with restaurant leftover food',0
"The ICMR had in March recommended anti-malarial drug  HCQ in with the azithromycin for COVID-19 patients with severe symptoms. The recommendation was criticised by medical health experts for its potentially dangerous side-effects. On June 13, ICMR revised its guidelines . ",1
Hydroxychloroquine Study to Resume to Test if it Prevents COVID-19 Infection . A global trial designed to test the hydroxychloroquine for the prevention of COVID-19 can is to resume ,0
Global COVID-19 prevention trial of hydroxychloroquine to resume - Reuters - finally,0
"According to the ICMR, a cumulative total of 86,08,654 samples have been tested up to June 29 with 2,10,292 samples tested on Monday..",1
Actually you are the result of these 1% and 2% errors that doesn't mean that i deserve a nobel price for discovering your truth and coronil contains gomutra so i dont want that you will be infected by it but please dont take coronil medicine just becuase your ass got tattered.,0
"THe shameless gomutra /cow piss drinker go behind a cow pray for mutra, you may have better luck with that. Mutra is divine drink not meant as derogatory your caste racist. ",0
"Politics aside, hydroxychloroquine could (maybe) help fight COVID-19 '",1
 Our Priceless Vedic Humpback Cow Breeds are decimated while we have imported Useless Jersey Cows which give Toxic A1 Milk. Our Vedic Cows give Pristine A2 Milk and their Gomutra is medicinal.Traitor let us down!',0
" Former Union minister Oscar Fernandez will vouch for Gomutra which according to him cured his cancer, that too steam Ayurvedic clinic in Kasaragod. ONLY dog eaters illness can't be treated. That's for sure. Wait for second round of COVID 19 that may doom China .""",0
"  India's First COVID-19 Vaccine Candidate, Set For Phase I, II Human Trials.  It has Xi in it.""",0
" Dr Gangakhedkar, the face of ICMR during COVID-19 pandemic, retires.",1
" We don't trust evil Bill Gates vaccine  Stop this vaccine propaganda  We trust  Gold Colloids in Gomutra of Humped Cow as prophylaxis for microglia""  ",0
"Raman Gangakhedkar, senior scientist of Indian Council of Medical Research (ICMR) is retiring today. He has played a key role in combating the on-going ",1
"Alarming, distressing and calling for urgent action on behalf of governments and people .  Children need our collective support, help and protection to survive the multi pronged Covid-19 assault.",1
"3,943 fresh COVID-19 cases, 60 deaths reported in Tamil Nadu . . . '",1
